node_name,obs
t13,0.7337013561505454
t45,1.6318710981071036
t76,1.1969281081367822
t37,2.5935807964791695
t95,2.1463655091724876
t40,1.6994537052062997
t39,3.595497662037465
t71,3.8037949473298314
t80,1.880363386969234
t50,2.4300740889189445
t52,1.0063477017052942
t68,2.1774078501518193
t66,2.7138441121550403
t89,1.6003775765621489
t7,1.6566346377149812
t36,0.7296122839517101
t93,3.1464997717622696
t55,3.2543589639408674
t51,4.354835081652328
t69,2.222501161639275
t58,3.6844567820959604
t96,-2.2419097340190475
t94,-4.400713631466853
t17,-2.786826637636156
t35,-3.6394985814268805
t30,-2.9507508859520386
t75,-3.3299373466850963
t99,-1.92081334046121
t74,-1.229431797092129
t78,-0.9538935456570523
t100,-3.2613242825178164
t60,-1.7007883909757169
t33,-2.183494191491457
t20,-1.5850143041920837
t82,-1.3313250704098
t42,-1.3601590635301206
t28,2.185671842788245
t92,2.435361444859992
t61,2.5595135316608726
t24,0.9889668682894059
t31,3.9314821733196426
t97,2.714846409460122
t77,3.625236972888845
t43,3.501537888601634
t67,3.1151484152636266
t88,3.1764508759799917
t47,3.7111010680059957
t6,2.0822199232821763
t29,1.4815537430474903
t26,2.4626945577311883
t32,2.9719630335132523
t34,2.088146340026284
t21,1.527454375538867
t23,3.199500985000246
t3,3.061517549895087
t11,2.243544067538714
t63,2.781418840717011
t41,-0.18170011639447647
t25,2.8758979168650787
t86,3.295587251943604
t65,2.3420543236797515
t49,5.409219319015767
t57,2.3896127640045126
t16,1.8789491720598945
t14,2.539505118546653
t62,4.544062498322496
t85,1.659139072534772
t70,2.0009462853522386
t2,3.3502596816947245
t81,3.255317913643013
t83,2.4126245080104285
t46,2.521147816434432
t18,3.0040938149715988
t54,5.166896662436632
t4,2.9230494105286926
t87,3.6816748367498695
t44,2.023871139746197
t15,3.1450826660504765
t38,2.3584074800300607
t1,2.078223187178157
t8,3.2617417107781987
t98,1.063799444628712
t59,2.770045191367589
t27,4.014257667989996
t72,4.865209052846751
t5,2.172830227686924
t56,1.8909732915195987
t90,1.764603676315466
t12,1.7421041000098145
t19,3.1603449808010557
t91,3.191963503509977
t64,1.857173306860584
t22,3.597244091034673
t48,2.5740005935861707
t79,2.426902178381394
t53,2.515667507139009
t10,3.74400775068058
t73,0.849916696036001
t9,3.316826526654226
t84,2.0980093117702374
